game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,spread_line,total_line,away_score,home_score,q1_home,q1_away,q2_home,q2_away,q3_home,q3_away,q4_home,q4_away,away_tds,home_tds,away_fgs,home_fgs
2000_01_SF_ATL,2000,REG,1,2000-09-03,Sunday,13:00,SF,ATL,6.5,46.5,28,36,6,7,22,14,36,21,36,28,4,3,0,5
2000_01_JAX_CLE,2000,REG,1,2000-09-03,Sunday,13:00,JAX,CLE,-10.5,38.5,27,7,0,0,7,10,7,20,7,27,3,1,2,0
2000_01_IND_KC,2000,REG,1,2000-09-03,Sunday,13:00,IND,KC,-3.5,44,27,14,0,0,7,7,14,14,14,27,3,2,2,0
2000_01_CHI_MIN,2000,REG,1,2000-09-03,Sunday,13:00,CHI,MIN,4.5,46.5,27,30,6,7,9,13,16,20,30,27,3,3,2,3
2000_01_TB_NE,2000,REG,1,2000-09-03,Sunday,13:00,TB,NE,-3,36,21,16,3,0,10,14,10,21,16,21,3,2,0,1
2000_01_DET_NO,2000,REG,1,2000-09-03,Sunday,13:00,DET,NO,0,40.5,14,10,7,0,7,6,7,14,10,14,1,1,2,1
2000_01_ARI_NYG,2000,REG,1,2000-09-03,Sunday,13:00,ARI,NYG,6.5,40,16,21,7,0,14,0,14,3,21,16,2,3,1,0
2000_01_BAL_PIT,2000,REG,1,2000-09-03,Sunday,13:00,BAL,PIT,-2.5,37,16,0,0,10,0,13,0,16,0,16,1,0,3,0
2000_01_CAR_WAS,2000,REG,1,2000-09-03,Sunday,13:00,CAR,WAS,10.5,47.5,17,20,7,10,7,10,10,10,20,17,2,2,1,2
2000_01_PHI_DAL,2000,REG,1,2000-09-03,Sunday,16:05,PHI,DAL,6,39.5,41,14,0,14,6,24,6,27,14,41,5,1,2,2
2000_01_NYJ_GB,2000,REG,1,2000-09-03,Sunday,16:15,NYJ,GB,2.5,44,20,16,7,7,10,10,13,10,16,20,2,1,2,3
2000_01_SEA_MIA,2000,REG,1,2000-09-03,Sunday,16:15,SEA,MIA,2,36,0,23,10,0,23,0,23,0,23,0,0,2,0,3
2000_01_SD_OAK,2000,REG,1,2000-09-03,Sunday,16:15,SD,OAK,6.5,39.5,6,9,0,0,0,0,2,0,9,6,1,1,0,0
2000_01_TEN_BUF,2000,REG,1,2000-09-03,Sunday,20:20,TEN,BUF,1,40,13,16,0,0,7,6,10,6,16,13,1,1,2,3
2000_01_DEN_STL,2000,REG,1,2000-09-04,Monday,09:00,DEN,STL,6.5,48.5,36,41,7,7,21,17,35,27,41,36,4,6,3,0
2000_02_OAK_IND,2000,REG,2,2000-09-10,Sunday,12:00,OAK,IND,6.5,44,38,31,14,0,24,7,24,31,31,38,5,4,1,1
2000_02_JAX_BAL,2000,REG,2,2000-09-10,Sunday,13:00,JAX,BAL,3,36.5,36,39,0,17,7,23,22,26,39,36,3,5,5,1
2000_02_GB_BUF,2000,REG,2,2000-09-10,Sunday,13:00,GB,BUF,6,38.5,18,27,0,0,10,0,20,10,27,18,2,3,1,2
2000_02_CLE_CIN,2000,REG,2,2000-09-10,Sunday,13:00,CLE,CIN,6,40.5,24,7,0,7,7,14,7,17,7,24,3,1,1,0
